_0280_,21.14µm
pcRegister[7],21.13µm
_0395_,21.1µm
u_data_memory.aw_latched,20.8µm
_0403_,20.66µm
u_vga_controller.H_count\[10\],20.6µm
pcRegister[24],20.45µm
pcRegister[25],20.45µm
_0299_,20.3µm
net88,20.23µm
pcRegister[31],20.15µm
net87,20.07µm
_0190_,20.06µm
u_axi_decoder.rd_target_owner\[2\],20µm
pcRegister[28],19.99µm
_0363_,19.94µm
_0358_,19.88µm
_0133_,19.825µm
s1_axi_awready,19.82µm
pcRegister[4],19.81µm
u_vga_controller.H_count\[13\],19.78µm
pcRegister[5],19.71µm
_0128_,19.705µm
_0296_,19.66µm
net90,19.65µm
pcRegister[27],19.65µm
pcRegister[2],19.49µm
_0313_,19.42µm
m_axi_arvalid,19.38µm
_0220_,19.36µm
_0284_,19.28µm
_0252_,19.22µm
_0117_,19.19µm
net23,19.14µm
_0306_,18.98µm
u_axi_decoder.rd_state\[3\],18.94µm
_0320_,18.9µm
_0373_,18.86µm
_0400_,18.76µm
net160,18.5µm
_0357_,18.32µm
net3,18.28µm
_0388_,18.02µm
_0281_,17.86µm
_0201_,17.82µm
net36,17.82µm
u_axi_decoder.s0_wvalid_reg,17.64µm
_0355_,17.56µm
_0242_,17.53µm
net153,17.465µm
net85,17.29µm
_0200_,17.16µm
u_vga_controller.raw_hsync,17.16µm
_0258_,17.14µm
_0219_,17.06µm
_0384_,17.02µm
net91,16.95µm
pcRegister[8],16.93µm
_0185_,16.76µm
net89,16.67µm
net131,16.67µm
_0241_,16.6µm
u_vga_controller.V_count\[13\],16.3µm
_0199_,16.17µm
_0147_,16.125µm
pcRegister[14],16.03µm
Vsync,15.925µm
_0160_,15.92µm
_0375_,15.9µm
net221,15.76µm
net37,15.68µm
net167,15.68µm
net133,15.67µm
_0310_,15.66µm
u_axi_decoder.rd_target_owner\[1\],15.62µm
net78,15.535µm
_0304_,15.42µm
_0286_,15.4µm
_0371_,15.4µm
net83,15.39µm
net56,15.14µm
net112,15.13µm
pcRegister[21],15.01µm
pcRegister[23],15.01µm
net136,14.99µm
pcRegister[12],14.89µm
